2023-09-12 00:03:38 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 00:16:06 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 00:28:56 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 00:41:43 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 00:54:49 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 01:08:01 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 01:21:49 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 01:35:26 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 01:49:16 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 02:03:17 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 02:17:42 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 02:32:36 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 02:47:31 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 03:02:44 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 03:18:08 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 03:34:04 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 03:49:49 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 04:05:59 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 04:22:25 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 04:38:46 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 04:55:23 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:12:10 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:17:00 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:22:04 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:26:56 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:31:47 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
2023-09-12 05:36:41 || Error || Core.Services.RedisServices || Index (zero based) must be greater than or equal to zero and less than the size of the argument list. ||  || end 
